	DMSO.1	DMSO.2	DMSO.3	SP600125.1	SP600125.2	SP600125.3
FAM41C	5.5377166840698	5.46578695672756	5.48018483816836	5.0316882792222	5.67240104356543	5.30141454463043
RP11-54O7.16	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-54O7.1	4.73636827958541	5.01457718842431	5.02017083352756	5.50978174698384	4.73636827958541	5.13718465369982
RP11-54O7.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-54O7.3	4.73636827958541	5.01457718842431	5.02017083352756	5.0316882792222	5.03704249764264	5.13718465369982
SAMD11	4.73636827958541	5.12921023232675	4.73636827958541	5.24611533220046	5.71644269287014	5.30141454463043
NOC2L	12.4457315789969	12.5387999388156	12.4924518354405	11.8018260266209	11.8320987462413	11.791025668041
KLHL17	8.57179505444088	8.76979258626801	8.36425100016301	7.98514813003687	7.88400156224323	7.86528897762754
PLEKHN1	6.46806370942719	6.68784147994709	6.59496976288461	7.45883167737451	7.29321033793741	7.62000646129827
PERM1	5.02287292524087	5.01457718842431	4.73636827958541	5.4536060332645	4.73636827958541	4.96827492553327
RP11-54O7.17	7.45807611701813	7.46401725912057	6.7810405739733	7.42067822546503	7.41928243375914	7.42663709663674
HES4	8.85521432478678	8.84372337752914	8.34589133487378	9.02674113122853	8.93300320127156	8.77095985970294
ISG15	10.6815155467966	10.6047989347019	10.4331311602422	11.1189724570643	11.2324523700941	11.1676874056842
RP11-54O7.11	5.14088675102938	5.12921023232675	5.22636317163822	4.73636827958541	5.03704249764264	4.73636827958541
AGRN	14.2101800506034	14.3051353495773	14.0770070567017	14.5160328258593	14.6627711241852	14.6956892459381
RP11-54O7.14	10.1347562957138	10.1028771276736	9.95753672068994	10.6384477441021	10.54804583534	10.6535129531236
RP11-54O7.18	4.73636827958541	4.73636827958541	4.73636827958541	5.39221541509149	4.73636827958541	4.73636827958541
RNF223	6.28440656521909	6.2431684786618	6.24884196764227	6.55372724405067	6.80788641155235	6.69701079357098
C1orf159	9.34481722167747	9.43178511071815	9.39702255823507	9.34096191179777	9.3431453841718	9.36706125193691
LINC01342	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-465B22.8	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
TTLL10-AS1	5.14088675102938	4.73636827958541	5.13708382267861	5.15329107568632	4.73636827958541	4.73636827958541
TTLL10	4.73636827958541	5.01457718842431	4.73636827958541	4.73636827958541	4.73636827958541	4.96827492553327
TNFRSF18	4.73636827958541	4.73636827958541	4.73636827958541	5.0316882792222	5.03704249764264	4.73636827958541
TNFRSF4	5.02287292524087	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
SDF4	11.7329698452464	11.7572416978332	11.7104314932981	11.8599727996269	11.8070524619241	11.8005490770982
B3GALT6	9.4223844070151	9.55338827592689	9.50590794160703	8.91023519959188	8.85525064709707	8.99698560021806
FAM132A	6.00971985414902	5.91765560451246	5.84586568623054	6.07538032246746	5.71644269287014	5.84613357963014
RP5-902P8.12	5.43253818817986	5.51499727628866	5.74086988970397	5.15329107568632	5.16082330137716	5.46281249389517
UBE2J2	10.9980947006601	11.061424593914	11.0474260257386	10.5972767580155	10.6062190058178	10.6578352507055
RP5-902P8.10	4.73636827958541	5.01457718842431	4.73636827958541	4.73636827958541	4.73636827958541	5.19870020463124
SCNN1D	4.73636827958541	5.12921023232675	5.02017083352756	5.15329107568632	5.40394199140696	5.46281249389517
ACAP3	10.6468115162155	10.6572757562761	10.4609474908281	10.6118207058465	10.6307515768989	10.5980404531579
PUSL1	9.82637761699158	9.88942310377727	9.82873321093988	8.98894742139579	8.73799427829598	9.0298303595226
CPSF3L	11.2870672158203	11.3992402488282	11.2288358371327	10.6149182708073	10.5867241367205	10.5248809338064
RP5-890O3.9	6.03782313852215	6.17636688700922	6.07987807317482	5.88882471473442	5.46638708598799	5.77750275823524
CPTP	9.82805407191541	9.77773141435672	9.86443627204205	10.0178087308303	9.94836245721092	9.96622103338419
TAS1R3	5.23099856814777	5.12921023232675	5.22636317163822	5.32397007744205	5.16082330137716	5.80095944206152
DVL1	11.9554147167811	12.0747499949805	11.9432158482985	12.1590771926799	12.1439145839136	12.1380423796396
MXRA8	12.1795996950791	12.2120025925247	12.0102580796417	12.1555370837258	12.1645111452122	12.0869962256244
AURKAIP1	11.8116977819978	11.9096913240734	11.7800119186543	11.6631077029885	11.6178464267675	11.5446219663354
CCNL2	10.5627670360169	10.595554976018	10.4395981156704	10.2861797005033	10.2546683899554	10.2128363668325
RP4-758J18.2	8.30767388960505	8.4033185238251	8.26510670415983	8.72323873061237	8.63165684727635	8.78008311041764
MRPL20	10.6971848428962	10.6801938210181	10.6915485634588	10.403092450588	10.3177896777381	10.1814349578367
RP4-758J18.13	6.34888236104299	6.2431684786618	6.27100460231683	6.13075159402198	6.03877973269635	6.36948409796893
ANKRD65	6.9739216370437	6.74612384350853	7.08799318669961	7.36138464469936	7.6154393501081	7.88249183005182
RP4-758J18.7	4.73636827958541	4.73636827958541	4.73636827958541	5.0316882792222	5.03704249764264	4.73636827958541
TMEM88B	5.37289009032804	5.29024088456287	5.30127328691047	5.0316882792222	5.03704249764264	5.25272529585174
RP4-758J18.10	5.5377166840698	5.51499727628866	5.42607438934602	5.32397007744205	5.46638708598799	5.70313413698758
VWA1	13.4584449651052	13.5293144680628	13.4008212946982	12.9647623930563	12.9672674875488	13.0884968958246
ATAD3C	7.40387961661156	7.36044244424363	7.4898319389936	7.69996688075153	7.6583201020564	7.92460050558632
ATAD3B	12.343452004378	12.4939942096329	12.3963038824171	11.6932093834304	11.7594898963483	11.9348083753127
ATAD3A	11.3361591737002	11.3484259216525	11.3039881796433	10.6241712376168	10.5469253494078	10.5058246569569
TMEM240	5.43253818817986	5.51499727628866	5.22636317163822	5.85397979421971	6.03877973269635	5.91005313205688
SSU72	12.1514454421203	12.2315238647393	12.2879233418043	11.7858855235509	11.7872668491272	11.8655085602163
RP5-832C2.5	5.75009037169432	5.94667948620716	5.96971716046898	5.32397007744205	5.62586829265605	5.88921933602457
AL645728.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
C1orf233	6.19232426318463	6.2645777332189	5.94020023871036	6.74428037764773	6.30742467129701	6.16393639571816
RP11-345P4.9	6.3063021994981	6.32649029839426	6.27100460231683	6.41506621108267	6.48431455787428	6.64455303858458
MIB2	9.57401425947948	9.6004014344468	9.42991203466796	10.3220070637021	10.2171165464978	10.4226279371958
MMP23B	5.02287292524087	4.73636827958541	4.73636827958541	4.73636827958541	5.03704249764264	4.73636827958541
CDK11B	9.89195886240129	9.94727877290341	9.93786933857979	9.6994626608825	9.57652324452413	9.47610750509999
RP11-345P4.10	4.73636827958541	5.21676473967919	5.22636317163822	5.15329107568632	4.73636827958541	5.06398263253143
SLC35E2B	10.2341666854727	10.1951414787653	10.1340882416329	10.0848967674004	10.0828225503415	10.1414164369568
RP11-345P4.7	4.73636827958541	4.73636827958541	4.73636827958541	5.0316882792222	5.16082330137716	4.73636827958541
CDK11A	8.73850396785429	8.56440308942874	8.77716080439488	8.60726136774635	8.49824498786499	8.34497049953747
RP1-283E3.8	8.8117051885992	8.66013652042043	8.85364066088318	8.5606859298977	8.50753750321485	8.5405756257763
SLC35E2	6.79781830447358	6.80185785148963	6.79538276280637	6.80702322933581	6.56383731215663	7.1516460309184
NADK	11.0231742231007	11.1018062935896	11.0891478907972	11.0595933555884	10.9627572893226	11.0453135900317
GNB1	13.601927827645	13.6441335496515	13.6365338950394	13.2544374486644	13.3583610395647	13.298274430804
RP1-140A9.1	5.43253818817986	5.12921023232675	5.02017083352756	5.0316882792222	5.16082330137716	5.19870020463124
CALML6	5.67169219415835	5.35468352501064	5.22636317163822	5.24611533220046	5.25529242349373	5.42624579956882
TMEM52	7.46690498547971	7.5603489996488	7.49829852086575	6.64395079037963	6.70900694736252	6.75721616726174
CFAP74	5.95106750214574	5.91765560451246	6.02627162207668	5.61044572529682	5.62586829265605	6.17993431964924
RP11-547D24.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
GABRD	5.14088675102938	4.73636827958541	4.73636827958541	5.0316882792222	4.73636827958541	5.06398263253143
RP11-547D24.3	5.14088675102938	5.01457718842431	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
PRKCZ	10.870591094569	10.8723142388891	10.9012773861824	11.4923190381947	11.4105302759018	11.5285305536693
RP5-892K4.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	5.33451234128816	4.73636827958541
RP11-181G12.2	6.16806253590285	6.10523151342147	6.07987807317482	5.95494502158523	6.09809458143142	6.3284476221886
C1orf86	9.72204178275557	9.92086458089305	9.75973743653923	9.49926669233083	9.21618204986146	9.27344955735778
RP11-181G12.4	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
SKI	10.8827328178867	10.8600153014547	10.9758315509862	10.5516661283405	10.8609541441821	10.8014897331074
MORN1	7.26840547026662	7.11552034822405	6.87824080788801	7.2887964021367	6.60174533853377	7.06158435106165
RP4-713A8.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP4-740C4.7	4.73636827958541	4.73636827958541	4.73636827958541	5.4536060332645	4.73636827958541	4.73636827958541
