	ENCFF003GCY	ENCFF020FWO	ENCFF024SOP	ENCFF024TPY	ENCFF025BJB	ENCFF036JUB	ENCFF039XCN	ENCFF040GTO	ENCFF047JNI	ENCFF051VXY	ENCFF058VTF	ENCFF067JJG	ENCFF068XKO	ENCFF081JVT	ENCFF083YCN	ENCFF084GLJ	ENCFF085SZC	ENCFF102GUG	ENCFF109TAE	ENCFF115HTH	ENCFF116GQA	ENCFF132JBP	ENCFF132MDE	ENCFF133DIO	ENCFF134ZDK	ENCFF148PHO	ENCFF153WQN	ENCFF172GSX	ENCFF173YTQ	ENCFF174VRM	ENCFF183AEI	ENCFF195YWM	ENCFF197KHQ	ENCFF203HVV	ENCFF205UIO	ENCFF214NKM	ENCFF216SYK	ENCFF226AOZ	ENCFF227WZR	ENCFF232BIG	ENCFF249GZW	ENCFF262FHU	ENCFF270GNM	ENCFF290EPY	ENCFF291MQR	ENCFF293ZIH	ENCFF305WVB	ENCFF316XWU	ENCFF329GDP	ENCFF336YFC	ENCFF338EDR	ENCFF341RBP	ENCFF348CJE	ENCFF363XQF	ENCFF370OYQ	ENCFF378QVC	ENCFF378WSR	ENCFF389QWJ	ENCFF391WYC	ENCFF395KUT	ENCFF402THI	ENCFF422YFH	ENCFF435GTP	ENCFF438GJD	ENCFF444VNW	ENCFF466BFI	ENCFF468NND	ENCFF474QSW	ENCFF484XHW	ENCFF490EXW	ENCFF498MDZ	ENCFF499CXR	ENCFF512TSJ	ENCFF561ENC	ENCFF577ZMC	ENCFF578BEO	ENCFF589FTC	ENCFF589IQE	ENCFF597TKH	ENCFF609BOM	ENCFF612BRI	ENCFF617DDH	ENCFF635WCC	ENCFF639EJH	ENCFF642UFQ	ENCFF645FNZ	ENCFF667BSO	ENCFF675ZGP	ENCFF677BGN	ENCFF679QGU	ENCFF680GPQ	ENCFF682LFV	ENCFF683CID	ENCFF685YFE	ENCFF709TMH	ENCFF721LXU	ENCFF727SUT	ENCFF765ADK	ENCFF765BJR	ENCFF779CFZ	ENCFF782KJY	ENCFF808FRN	ENCFF811RTH	ENCFF812GJU	ENCFF819NTW	ENCFF833SIZ	ENCFF843QJV	ENCFF845VOI	ENCFF848SAN	ENCFF849KDW	ENCFF861KWC	ENCFF866OCE	ENCFF871EKB	ENCFF880ORV	ENCFF889NTH	ENCFF909JGU	ENCFF913NRZ	ENCFF914SZL	ENCFF916NTG	ENCFF919NRH	ENCFF932ATD	ENCFF936OHE	ENCFF948CVH	ENCFF948PWG	ENCFF962JWU	ENCFF966HTZ	ENCFF967WVU	ENCFF971IBL	ENCFF978OUM	ENCFF979NIV	ENCFF983AVE	ENCFF987DJP	ENCFF992VNB
LTR10B1	3.870967742	1.169864296	1.16913484	0.737463127	4.048582996	1.043024772	1.465416178	1.050420168	0.54525627	4.320774283	1.279590531	4.033032456	2.922422954	1.435132032	1.95107309	0.803212851	4.28700361	0.751879699	0.750075008	1.08577633	1.882352941	1.007049345	1.067235859	0.619866729	4.124278251	1.067349771	0.67704807	1.130369254	0.991080278	3.03030303	0.623635797	1.479837218	1.188001188	3.310214376	1.36425648	2.484913028	0.524658972	2.744237102	1.108080464	3.856302009	4.000842283	0.784929356	1.347103727	0	1.094829038	2.139037433	0.697593303	4.083616918	0.836353499	3.186616212	0.665070497	1.052742394	1.029512697	0.970402717	1.447876448	1.46092038	0.992063492	4.271313856	1.241464929	0.811194484	0.729501021	0.81512879	0.591366056	1.638448935	3.028991778	2.566633761	2.134471718	1.543209877	1.242236025	1.352082207	1.369237791	2.00425905	2.935681879	1.190003967	1.38121547	1.06094542	2.527988443	0.976835054	1.655629139	4.021164021	3.145272263	1.063452676	1.500750375	2.017908942	1.419110691	1.124016486	3.534089236	1.12578037	2.743233358	1.133193863	1.012145749	4.354508197	2.733173898	1.961080103	4.298642534	3.949282893	3.76344086	4.06440519	1.388246182	3.853564547	0.939555277	3.208985158	0.802310655	0.991974028	0.714796283	0.997506234	1.441961067	1.149161112	1.160541586	3.716814159	0.558503211	4.08548083	1.43472023	2.041858091	0.562746201	1.412429379	1.355380862	0.973078171	1.691093574	3.963535474	2.029426687	1.774098167	1.339883877	1.073191672	0.979431929	1.487541837	2.027369488	0.693601526	1.358326542	1.166861144	2.589125672	1.709401709	0.527148129
LTR10F	3.590406434	0.313553343	0.12703252	0	3.15970028	0.175131349	0.196309384	0.155654137	0.190512479	2.484612344	0	2.198012232	0.4322642	0.198235702	1.902187516	0.213401622	1.619552415	0	0.395335046	0.286532951	0.318268619	0.330013201	0.274230197	0.510282186	3.182107464	0.178335771	0.319066503	0.127145582	0.610443276	1.790880287	0.510308226	0.244947949	0	3.015179871	0	1.805706031	0	2.318769832	0.344007109	3.377921902	1.628779831	0	0.157109191	0	0.306603116	0	0.115406809	2.189989526	0.091058095	1.538658802	0.310435053	0.176460208	0.117426022	0	0	0.247279921	0.271039436	2.515435628	0	0.491642085	0.397318103	0.26379656	0.184162063	0	1.80706144	1.310444241	0	0.087032202	0.131388779	0.087773194	0.29717682	1.316601522	0.426548371	0.133779264	0.153303695	0.155551235	1.791258658	0.60442626	0.191021968	1.632764134	1.544699749	0	0.320615582	1.327966137	0.155159038	0.124347177	2.393863892	0.204645452	2.317779811	0.343092406	0.115942029	2.908219998	1.604584527	1.879699248	1.635687732	1.648238445	2.851157919	2.407368641	0.153209744	3.60308424	0	1.963350785	0.215354797	0.330846968	0	0	0.118778952	0.310414403	0.131354262	2.833516452	0.094082228	2.44863196	0.322424633	0.170473917	0.092601167	0.120148985	0.090481361	0	0.193873594	1.875202069	0.178380307	0.198846689	0.153633431	0.284010224	0	0.251540687	0.172681748	0.115935308	0	0.382936356	1.314405889	0.185150898	0
LTR13	3.65273217	4.287161899	1.966630718	4.81378262	3.475042874	3.283780785	5.280988442	3.012528928	3.294117647	3.904997814	2.360063619	3.559706732	5.484776506	5.316481091	3.837511677	3.785299965	4.123009419	4.681404421	5.143645716	2.760054484	3.476151981	2.934353444	3.107846303	5.262475697	3.508931826	2.496677084	3.910448444	2.014164122	2.681799679	3.893442623	5.31218925	4.081885089	2.949115265	3.782168267	1.483473182	3.243772569	2.957036006	3.98800507	2.35322153	3.852185178	4.233791396	4.707112971	3.106796117	3.804911795	2.257787939	3.033175355	4.904408094	3.540809468	2.913429523	4.673966334	3.902149605	2.522686025	2.69479961	3.64298725	4.056466007	3.544079489	3.107817356	3.866574331	2.358732438	3.184826073	5.174154467	3.786640514	3.261578604	1.760324983	3.941363574	5.064548163	2.967909479	3.033767147	4.752161573	2.766063574	3.260539885	3.254369096	5.551700208	4.791694396	4.783599089	2.998292363	3.196815248	2.739987134	4.151781404	4.554053107	4.681310767	2.825018363	3.532150598	3.273771808	3.116721209	2.259461495	3.749753306	2.492233708	3.982956651	2.340532693	2.733193766	3.838688807	3.713158505	3.860023363	4.125350087	4.542913056	3.864534781	4.896381971	4.671441918	3.557184435	1.927814073	4.343819929	2.849002849	2.98317304	3.601794993	3.59212997	3.271735838	4.397010033	5.138678437	3.869786128	2.775817455	4.983164983	3.564196031	3.387247015	2.788806958	3.27630142	2.766189008	1.864853006	4.185729582	4.725959961	3.317618299	5.617977528	4.621072089	2.784306635	1.868850657	3.510751677	3.398014844	4.86823694	1.475674429	4.681144962	5.058687386	3.240140715	2.90647974
LTR13A	0.496919102	2.118644068	0.174064404	0.35335689	0.738461538	1.570996979	1.597018898	2.642364107	0.764136526	1.019687819	0.137627305	1.467710372	2.526771748	1.627118644	1.041088284	1.045556385	0.823892894	0	3.612076603	1.266686154	0.868243977	2.680851064	2.839485552	3.579610538	0.755572346	0.78593182	2.814963093	0.178890877	0.97924011	0.381315539	3.587057895	1.323188885	0.136054422	1.094810598	1.518987342	0.494967827	0.236910685	1.682793437	1.25116035	0.563063063	0.87124879	0	1.715265866	0	1.138326268	0.99009901	2.958106812	1.489169675	0.510855683	0.820045558	2.849532305	0.795624068	0.32247662	0	0.224164985	0.845165652	1.407261469	1.021932238	0.139508929	0.386996904	3.634368786	1.03973264	0.789473684	1.479837218	0.37993921	0.810810811	1.014713343	0.483150139	1.315542191	0.500625782	1.259974801	1.281827186	2.38948626	1.270186899	1.676445935	2.695269527	0.487250284	0.959692898	1.059041567	1.340097636	0.798013832	0.305530095	0.438500329	1.278252281	1.67539267	0.17027073	1.01853738	0.915442062	1.679543164	1.236291127	0.316706255	0.824499411	0.786905886	1.038853106	0.825252734	1.300510915	0.796178344	1.45211646	0.846919331	0.494951495	0.723693733	0.529380625	0.738552437	2.690468056	0.481850305	0	0.325679857	2.143163309	1.591511936	0.80834209	0.510008925	1.404182987	0.445930881	0.949216896	0.513149455	0.327278678	0.492610837	0.899820036	1.065814015	1.364628821	0.962000962	0.545702592	0.851788756	1.271766778	0.894854586	0.877654906	0.955794504	2.951735142	1.550387597	2.73857173	0.818777293	1.831022757	0.245821042
LTR14	6.540018686	2.065404475	0	1.082251082	4.998077662	1.901863827	3.579418345	2.04568701	1.659751037	6.462838678	0	4.572537065	5.325218714	3.65630713	3.318584071	3.457017746	7.513884352	0	3.015941405	2.784653465	2.087682672	2.259736807	2.251472116	2.018389773	5.258899676	3.368549992	1.385315654	0	2.435559164	4.941321804	2.002670227	1.074691026	0	4.593477262	4.893964111	8.205128205	0.790513834	5.172883202	3.394518481	6.610576923	7.221350078	0	0.676132522	0	3.696402169	6.51465798	1.992031873	4.598662207	1.226993865	3.981797497	1.4	3.41138161	1.531393568	2.13371266	2.083333333	1.127395716	3.590664273	6.658130602	0	4.021033096	3.069502302	3.592814371	1.62999185	4.803843074	4.886988393	3.193960511	6.420545746	1.18623962	0	1.186708861	1.397624039	3.323485968	5.325218714	0	0	2.051282051	8.588298443	2.476269088	1.7809439	6.26118068	4.158004158	0.974658869	3.55366027	3.246167719	0.678426052	0.550357733	5.534269902	3.488019412	5.164446861	3.489273714	1.513622603	5.210271678	9.139784946	3.297428006	7.598282128	6.43974241	5.109862034	6.215469613	0.648508431	6.809338521	1.440230437	3.311258278	5.743000718	2.288945739	1.529831719	2.161383285	1.578116781	2.040816327	0.571755289	5.017561465	1.622060016	6.206896552	3.48189415	2.284843869	1.592356688	1.600853789	1.21901666	0.952834683	1.696352841	6.666666667	2.33281493	1.755926251	0.664451827	2.835538752	0.979911808	1.100110011	2.401921537	2.023267577	4.868154158	2.06043956	3.224860745	1.647446458	0.784313725
LTR23	5.263469158	0.835260858	0.206377051	0.638569604	5.743268442	0.93917064	0.408396635	1.338944147	0.460971112	4.596407298	0.924369748	3.496319664	1.062849855	0.410172272	2.566968907	0.484432113	5.631335252	0.863744332	1.177330302	0.757002271	0.262054507	1.497557263	1.276470396	0.717996368	5.780780781	1.025130338	0.405589764	0.209797545	0.742013591	5.773802785	0.72049163	0.603075686	0.987410516	3.9503386	0.982318271	4.765687053	0.287521564	3.191383265	1.020432379	4.861609856	4.917843092	0.8195042	0.760938491	0.428143285	0.889436234	1.485442662	1.108113317	3.482040004	0.533943555	3.384367446	0.408967543	1.02124183	0.758365722	0.658414538	0.654878847	0.510412413	0.609384522	4.607428303	0.922663983	0.801144492	1.183721785	0.489345611	0.47318612	0.955812073	5.779036827	3.1732137	1.539408867	0.437477215	0.550418318	0.43952824	0.619348445	2.130249544	1.061721404	0.549450549	0.622045285	1.34391399	4.725804864	0.738466322	0.476947536	4.985507246	3.370065262	0.558451229	0.272442447	2.172189084	0.759301443	0.20487605	3.950361119	0.76342353	3.212528863	1.005706801	0.757647504	5.515219213	4.869199924	2.53931848	5.50728185	4.801786711	4.082416791	3.781693167	0.637836459	5.277201304	0.869414015	5.422405379	1.059322034	1.509265903	0.784159969	0.681942171	0.705005539	0.828447617	0.533276451	4.126614234	0.462998688	3.836261389	0.271776057	0.28332625	0.456551514	0.702740689	0.443622921	0.724834647	0.481927711	4.568664338	0.282286521	0.325732899	0.632831287	0.763224329	0.718261806	0.515676568	0.288850376	1.096229922	0.974366662	1.00231786	3.146872118	0.303905182	0.287480236
LTR24	4.708344232	4.309146511	2.128666036	1.375515818	4.918032787	4.587155963	0.721630886	4.842105263	4.493605254	3.852783129	3.080268165	3.742084053	2.157164869	0.718003949	2.019274897	2.289857838	4.872766649	1.748251748	2.410714286	3.125390674	3.163646822	3.846779	4.556287677	2.346316283	4.897959184	3.0879758	0.572690829	2.046850125	0.421940928	4.356740133	2.352055697	4.364906155	2.99982354	4.437459554	4.275612564	5.61676388	1.59642401	2.398604448	3.209863963	4.30822255	4.607705107	1.811594203	4.237288136	1.555693839	3.288981911	0	2.486273697	3.72963048	2.136752137	2.220923437	0.561572403	3.118238513	2.04248366	1.478852411	1.445922499	3.980539584	3.188228081	3.813729426	3.119266055	2.998875422	2.429368364	2.334403268	4.346372451	3.994886545	4.212091179	1.857872736	0	2.467232074	3.954408002	2.258793159	3.99573788	1.18835413	2.120569524	4.114230397	2.694691458	4.871849184	5.624053645	0.422689999	3.134796238	4.123969008	2.191464821	2.223120453	3.433476395	1.173967276	4.310344828	2.241147468	3.591136025	2.81672892	2.401222441	3.226963069	2.059732235	4.581551619	5.397550343	1.946730378	4.851098235	4.089726112	4.692832765	2.76770376	3.374578178	4.700352526	3.464870067	4.399166474	3.542025656	3.837630398	2.32853514	1.496557917	2.392864912	4.395292783	4.240282686	4.573329176	2.352545791	2.722493428	3.518029903	4.153354633	2.307185234	2.39390642	2.240358457	3.116478379	3.134796238	4.765779379	4.546832373	2.071108043	3.295797858	3.194888179	3.154574132	4.09929401	4.705144291	2.486531289	4.33188937	4.129387474	1.903855307	3.911342894	1.541307028
LTR24B	1.542649728	4.671078241	0.634115409	1.612903226	1.579957115	3.942329353	0.376789751	4.267216009	2.826189355	2.1486893	0.514933059	1.60636119	0.75553157	0.381873727	0.570414501	0.205338809	1.33193797	2.595717067	1.413384133	0.899523253	3.009630819	3.582044052	3.88736606	1.234247109	1.636852566	1.381831149	0.798995548	0.643293664	1.077457201	1.426024955	1.263381874	2.947564381	0.639877144	2.028795812	0.811876595	1.49231458	0.442184391	0.609756098	1.198431145	1.271186441	1.338568624	2.679169457	3.853564547	0.433933608	1.128787612	0.901713255	0.948005542	1.624893366	0.93676815	0.745712155	0.798357664	1.371135389	0.882482718	0.411437976	0.601926164	2.942542977	0.769888794	2.19731927	0.509294627	1.234132581	1.456433637	0.203652162	2.840236686	0.77356614	1.379310345	0.578034682	0.921234454	0.988467875	3.194351042	0.898270829	4.022988506	0.630384535	0.759301443	3.119868637	1.515725654	4.309917765	1.506477855	1.079719273	2.180760843	2.092050209	0.743801653	0.837404047	3.894240623	0.629293618	3.838034926	0.932835821	2.028023599	1.171112557	0.61628534	1.183814034	0.872600349	1.402373247	1.315981869	0.567895003	1.316531879	2.100105005	2.155012261	0.931098696	1.706484642	1.550811896	1.336005344	1.357542847	1.147950571	3.576048086	0.742721331	0.420609884	0.751427713	4.708190289	3.154574132	2.146240379	1.059197364	0.919238345	4.000842283	5.022930771	1.077328226	0.758265089	0.894454383	1.229172357	2.236024845	1.885091386	5.307386112	1.491795127	1.786423184	0.906125408	1.213265031	3.011570772	5.206073753	0.951474786	0.809061489	4.398826979	0.584697628	3.315963998	0.437636761
LTR26C	2.578225712	1.165501166	0.413479429	1.683501684	2.412181517	0.869061414	0.669008195	1.281394157	1.228501229	2.622213898	1.184433164	2.05230753	1.137171286	0.659957103	1.239669421	0.97121667	2.223594812	1.299263751	1.149047932	0.954084675	1.309586171	1.488021428	1.26447491	0.937686472	2.390914525	1.117975875	0.754204691	0.423549343	1.007986353	2.506836828	0.943072702	0.810701257	1.187648456	2.989010989	0.909228671	2.151378838	0.293341156	1.81598063	1.308655824	2.736914129	2.015173068	1.290877797	1.255965838	0.576036866	1.304935452	0	0.769082869	2.051767677	0.460758716	1.078167116	0.74305246	1.106645699	0.764233856	0.542888165	0.817661488	0.838398659	0.898674455	2.629601803	1.178054527	0.68212824	1.150842581	0.995294969	1.249219238	1.19456473	2.573099415	1.725811671	0	0.835073069	1.100110011	0.74019245	1.249375312	1.303602058	1.158412974	1.085540599	1.008827238	1.290405833	2.197802198	1.007049345	1.270244522	1.893728417	1.082954299	0.757002271	0.810810811	1.304765829	1.238236751	0.418147606	2.555502316	1.023366877	1.811594203	1.33295249	0.763067531	2.409638554	2.321981424	1.237725885	2.23880597	1.978354475	2.658003544	2.370708578	1.029071263	2.607871029	0.517509056	2.669632925	1.071237279	1.506250941	0.588004704	0.557880056	0.595829196	1.155772441	1.308615049	2.613240418	0.454407755	2.369252369	0.810810811	1.43636886	0.470735917	0.589275192	0.745378652	0.556276655	1.305483029	2.355964875	1.17959304	2.283849918	1.012401924	0.939187603	0.546846518	0.815993472	1.155735337	0.760383994	0.899820036	1.26246686	1.712145532	1.539882969	0.284252416
LTR26E	4.641717435	2.215189873	2.068252327	4.17101147	4.451038576	2.135231317	1.582278481	1.270446244	2.181818182	3.238491788	1.213101496	2.976960911	1.048218029	1.575423395	2.580389043	1.777777778	4.27480916	3.051881994	1.979022363	1.701644923	3.94218134	1.342118106	1.245330012	1.886396982	4.431314623	1.433486239	1.84774575	2.018163471	0.951112802	3.837719298	1.868382811	2.918287938	1.646090535	3.7791308	2.188982123	2.89017341	2.855103498	3.181595693	1.829407729	4.603303547	4.250495891	3.067484663	3.006614552	2.647253475	1.790309947	1.436781609	1.381533502	2.955918262	2.521613833	3.363518758	1.765225066	1.427755568	1.403837155	0.638569604	1.849568434	2.530364372	1.674574379	3.171726325	1.19760479	1.93637621	2.022244692	1.71858217	2.242152466	2.212389381	3.948110547	3.116883117	1.43472023	2.417127072	2.063983488	1.825483753	3.694581281	1.789781972	1.067235859	2.104155708	3.790271636	1.253721987	2.952755906	0.936154278	2.33463035	3.597122302	3.343621399	2.299908004	3.75	1.837928154	3.182686187	1.994017946	3.400680136	1.398797035	3.118253778	1.846295869	1.436093825	4.43989071	4.612546125	2.580389043	4.074505239	3.643497758	3.579098067	3.245348334	1.898734177	4.686584651	1.734605377	3.628823224	1.932574619	1.32754043	2.29147571	0.707714084	1.890359168	2.201950299	3.151260504	3.427004798	2.143622722	3.252385082	3.913894325	2.024291498	2.209131075	1.844167819	1.770538244	1.736864959	2.380952381	3.652491521	2.181818182	2.483443709	1.747233547	1.725129385	1.759014952	2.481389578	2.06185567	1.389210465	2.181818182	2.167182663	3.144654088	2.90486565	2.865329513
LTR29	1.254490506	0.365497076	0.099730727	0	1.338593772	0.341530055	0	0.553352393	0.147623265	1.291184328	0.079770262	1.334618522	0.66983723	0	0.513002644	0.21141649	1.109683448	0	0.307196068	0.330469266	0	0.535294528	0.677548506	0.241080039	1.331091495	0.356682306	0.244592753	0.098493056	0.146638317	0.861048326	0.240615977	0.18957346	0.077615647	1.210311857	0.356303	1.017011834	0.13394053	0.433296423	0.467404127	1.212248985	1.059972106	0	0.121477162	0.132784491	0.500163097	0	0.136221223	1.3383563	0.214285714	0.615037671	0.24338514	0.356613815	0.27027027	0.12904891	0.127616131	0.28982707	0.367087944	1.289461983	0.080108948	0.26994925	0.30757401	0.208142536	0.14365752	0.349552573	0.856072766	0.566076575	0	0.345208506	0	0.27909573	0	0.488535696	0.682221313	0	0	0.54336342	1.026119403	0.145618697	0.299805127	1.120537858	0.609663161	0.174581006	0	0.482703138	0.121610118	0.194817845	1.210058612	0.401133872	0.426176721	0.473410131	0.27124774	1.205545509	0.816326531	0.511609603	1.096491228	1.129275113	0.994485128	0.812512696	0.120481928	1.232423954	0	0.822283894	0.377770316	0.537207456	0.275659285	0.125203456	0.28333963	0.367579489	0	0.996692792	0.290338971	0.825286787	0	0.135244793	0.293728888	0.278448116	0.279857273	0	0.305950742	0.901442308	0.27461211	0.454545455	0.12115338	0.339366516	0	0.295043273	0.271665308	0.135189942	0.354258183	0.301477238	0.566630608	0	0.135098622
LTR2B	4.172335601	1.370131141	0.475661963	0.943099654	2.898227622	0.99623644	0.864517723	2.314814815	0.473933649	3.747477659	0.379746835	3.270319853	1.065303079	0.872926799	2.984888999	0.935078814	4.271520104	1.309328969	4.073571164	0.793720787	0.60851927	2.269091991	2.390438247	3.769727174	2.974488045	0.885818053	1.172660264	0.471327573	0.761035008	3.042596349	3.78277874	1.064476886	0.369731329	2.854362634	0.56934639	1.923076923	0.219538968	3.524364082	0.7515299	3.945601075	4.061092964	1.286173633	1.341510157	0.436776589	0.963424285	0	2.376494311	3.296349895	0.231991648	3.183153771	1.177988444	0.882301041	0.145623999	0.408246581	0.625521268	0.78015291	0.928035097	3.677770705	0.380469245	0.606796117	4.084663944	0.919600631	0.475398146	0.881251377	3.090128755	4.270696452	0	0.774336283	0.498753117	0.77373715	0.944108761	2.594099695	1.082837033	0.497182632	0.189933523	2.32130767	1.934811728	0.762150437	0.951474786	4.833040422	3.121248499	0.280741157	0.201572264	2.630221764	1.331304679	0.312744332	3.422146175	0.858885167	3.547740244	0.749625187	0.143967751	2.671511007	2.423723981	2.97711344	4.309537193	4.728335626	2.977703537	4.199475066	0.578815358	4.153873939	0.925803465	2.78551532	0.466822274	2.277989394	0	0.407414952	0	1.365187713	0.327653997	2.977487291	0.231535078	4.218018849	0.202183583	0.636267232	0.229357798	0	0.776914539	0.828958276	0.985707245	4.697116942	0.644053242	0.487923884	0.560957367	0.799573561	0.815882513	0.772200772	0.660211268	2.390611417	0.564525234	1.705837756	4.244897959	0.232504069	0.220945647
LTR34	2.667344087	1.81108944	0.231320842	0.941619586	2.256972433	0.790139064	1.056152086	1.75290983	0.992391664	2.351257412	0.539762504	2.342723273	1.206272618	1.05969622	0.90065748	0.579598145	2.412545235	0.436681223	1.487834763	0.638651169	0.819448238	1.656159846	1.635381115	1.380452789	2.314814815	1.016970699	1.536968128	0.232991612	1.428811565	1.938454083	1.394440829	1.288659794	0.353481796	2.227998515	0.809192426	1.697792869	0.309597523	1.450083659	1.071046055	2.259752617	2.566076469	0.444839858	0.807102502	0.309789343	1.118568233	1.301236174	1.764400623	2.323867823	0.654129191	1.303780965	1.496416476	1.005088259	0.622277536	0.578703704	0.278862242	1.096491228	0.97775605	2.3197176	0.55157198	0.748876685	1.507359461	0.569692366	0.997008973	0.800768738	1.978239367	1.198035222	1.342281879	0.462606014	0.990589401	0.628535512	1.385425326	1.489646954	1.243587751	0.9503445	0.832177531	1.751313485	1.743679163	1.426892731	1.360081605	2.533478104	1.255277873	0.603864734	1.146788991	1.472428771	0.819672131	0.222617988	1.972555746	0.86757142	1.416122004	1.084542685	0.627877773	1.96969697	1.621402513	0.899928006	2.422611036	2.602230483	2.049390306	1.600301233	0.831716108	2.745456922	0.927299703	2.403846154	1.057488944	1.678851882	0.43047783	0.60845756	0.428816467	1.863265014	0.71394574	2.117074203	0.668114248	1.635716348	1.162115049	1.526717557	0.660283922	0.43421624	0.637450199	0.965437343	1.334222815	2.311604253	1.243394467	0.69637883	0.821467689	0.632831287	0.982318271	1.096972356	1.271051795	1.768070723	0.808930594	1.882479494	1.175778954	0.997340426	0.294031167
LTR35	7.641196013	3.58037952	0	1.109877913	7.717303006	2.793296089	0	4.212454212	0.842459983	6.551362683	1.407129456	4.318046456	0.382262997	0	4.26742532	2.263012321	6.678383128	3.389830508	4.391033048	2.655160969	0.772200772	4.031137059	3.644314869	4.984571564	8.07479813	1.324284059	2.875924404	0	0.659630607	10.5680317	4.933051445	1.689189189	0.457038391	4.823926676	2.569593148	7.799442897	0	5.979498861	1.99071002	7.103150093	6.591957811	3.618817853	1.395673412	0	1.806451613	0	4.481940417	4.255943645	0.441306267	5.750605327	2.964845404	1.309328969	0	0.745712155	0	1.789976134	2.56	6.520605112	1.403180543	1.658925017	4.303510759	2.32738557	0.825082508	2.069536424	10.3626943	4.923076923	0	0	2.549394519	0	1.395673412	3.249235474	0.398883127	2.364066194	2.124645892	4.016064257	7.73480663	0.653310105	2.69058296	6.5913371	5.755831566	0	0.76394194	3.272377286	1.454545455	0	5.672793283	0.955566173	5.857740586	1.983864568	0	7.81555295	7.450771687	4.115226337	6.449422946	6.63507109	6.214536612	5.507662835	2.031144211	7.723304231	0	9.81595092	3.1225605	4.079336053	1.064962726	0.768639508	1.129943503	3.676470588	1.93174501	6.019366658	0.426439232	5.697299975	0.770416025	0	0.445831476	1.113585746	0	0	2.583979328	6.268656716	0	0.882612533	2.228826152	2.574002574	0	1.67879127	0	4.505698383	2.588438309	3.586800574	5.093919134	0.854700855	0
LTR35A	9.750390016	6.385696041	4.026845638	2.853067047	9.156626506	3.342884432	1.098297639	5.269814503	3.128258603	7.587733165	4.977876106	5.563282337	1.382488479	1.100110011	5.361930295	4.146919431	7.989907485	4.237288136	5.976636783	4.963726613	4.428697963	3.629764065	4.939862543	5.870841487	9.223300971	3.684312585	2.684236213	4	1.542020046	10.31687546	5.869200671	3.180661578	4.988913525	7.0861678	4.60593654	11.88118812	2.714932127	7.177033493	2.516910492	8.8138083	7.908264136	4.103967168	4.139072848	2.717391304	2.706359946	2.036659878	5.415737496	5.521048999	4.568527919	7.360672976	2.664728682	3.621807091	3.913894325	1.762114537	1.793721973	3.387533875	4.533434076	7.54005655	4.677754678	3.799392097	5.899705015	4.185351271	2.912621359	4.287756074	11.25401929	7.233273056	2.079002079	3.705419176	5.003573981	4.273504274	4.340277778	4.273504274	1.3239188	5.135730007	4.038772213	5.132416342	11.54586273	1.557228134	6.147540984	7.290867229	7.521489971	3.092145949	4.432624113	4.317200636	4.06504065	4.707464694	7.295466389	3.561387067	6.993006993	2.435312024	3.838771593	9.130225853	9.98003992	5.364806867	7.786885246	7.53968254	8.706868752	8.203926165	4.115226337	9.972078181	4.561003421	10.21152443	3.556609366	3.64661031	5.921052632	1.78412132	6.064690027	6.518904824	4.255319149	8.274593932	3.611971104	7.92303339	4.222972973	4.84496124	3.521126761	5.917159763	4.529441369	4.632310365	6.417112299	7.441530829	4.835589942	5.592841163	4.142502071	5.22928399	4.742145821	3.360215054	4.86381323	5.300904272	4.509018036	6.97167756	7.01754386	2.827521206	2.926829268
LTR38C	1.339764202	2.828854314	0.918695452	0	0.976880495	3.305785124	0	2.86615076	2.044989775	1.071811361	0.381242852	1.919616077	0	0	0.183553598	0.595356221	1.107419712	0	3.074697052	1.033057851	2.297530155	2.610077167	2.848597066	2.235469449	0.9765625	1.320655045	1.003512293	0.943841435	0.698080279	1.017811705	2.268002268	4.08719346	0.373692078	1.150968732	2.336448598	0.888099467	1.98019802	1.586941737	1.749016178	1.463057791	1.279426817	0	2.804262479	0.631711939	1.859312055	0	2.990175139	1.862414154	2.705444707	0.485908649	1.006711409	1.289490651	1.721911322	1.891551072	1.766784452	4.211511465	1.003512293	1.083658431	0.372300819	2.103602419	3.098232185	0.579934274	2.064693737	1.927401221	1.014713343	0.712758375	0	1.294498382	2.470355731	1.329787234	2.779321845	0.90881551	0	2.437835202	2.915451895	2.873563218	0.912408759	0.692520776	0.711237553	1.266464032	0.488042948	1.719690456	2.955082742	0.935307872	2.868617326	0.907852928	1.249776826	1.477104874	1.571268238	1.676445935	1.672240803	0.893921335	0.832639467	0.184195985	1.072961373	1.251564456	1.291711518	2.116605734	3.546099291	1.360914535	1.575423395	1.487357462	1.390820584	2.52442103	2.618943693	1.817080557	3.546099291	2.866972477	1.898433792	1.305199043	2.397260274	2.107683464	3.039513678	2.504696306	2.393162393	3.470715835	1.339136257	1.943256899	0.717360115	0.972526137	3.065603924	0.723065799	3.395585739	1.046298718	2.058460272	4.237288136	3.39673913	2.97935731	2.350570853	2.884338044	0.738734302	2.071823204	1.889168766
