		 hTSC_CutTag_H3K27ac			hTSC_CutTag_H3K4me1			hTSC_CutTag_H3K4me3			hTSC_ChIP_H3K27ac_peaks			hTSC_ChIP_H3K4me3_peaks			Cytotrophoblast_H3K27ac_peaks			Cytotrophoblast_H3K4me3_peaks			CT29_hTSC_H3K9me3			CT27_hTSC_H3K27me3
rep	total	enrichment.x	pval.x	real.overlap.x	enrichment.y	pval.y	real.overlap.y	enrichment.x.x	pval.x.x	real.overlap.x.x	enrichment.y.y	pval.y.y	real.overlap.y.y	enrichment.x.x.x	pval.x.x.x	real.overlap.x.x.x	enrichment.y.y.y	pval.y.y.y	real.overlap.y.y.y	enrichment.x.x.x.x	pval.x.x.x.x	real.overlap.x.x.x.x	enrichment.y.y.y.y	pval.y.y.y.y	real.overlap.y.y.y.y	enrichment	pval	real.overlap
LTR2B	354	5.98404255319149	0	45	2.54740100606217	0	79	3.09289738208329	0	28	12.1906169190986	0	33	4.6875	0	30	5.10529674537332	0	56	4.61653015636634	0	31	1.94719214892126	0	50	0.384264373889236	0.004	8
LTR34	271	2.5983024424043	0.018	15	1.95393697513927	0	47	1.71600171600172	0.206	12	4.75737392959087	0.002	10	1.82407782732063	0.196	9	2.91409255157944	0	25	0.597371565113501	0.636	3	2.83201669399314	0	57	0.97745738896695	1	16
LTR3A	179	4.60330354725156	0	17	3.41121194567806	0	53	2.89338971733808	0.01	13	7.72200772200772	0	10	3.68437212158428	0	12	5.59701492537313	0	30	3.37630448127686	0.004	11	2.88431555971313	0	37	0.760600874691006	0.598	8
LTR7C	332	4.26351258423876	0	31	2.8936170212766	0	85	2.81458895273836	0.036	24	7.30519480519481	0.006	18	3.63951473136915	0.012	21	2.9893924783028	0.004	31	1.32406487917908	0.52	8	4.87884875568857	0	119	0.45135406218656	0.016	9
LTR8	3504	2.06896551724138	0	159	2.31654818388358	0	727	1.48297870003186	0	135	3.5830378250591	0	97	1.61590667754198	0	105	2.24356976878767	0	252	1.64794007490637	0	110	3.1698732810849	0	834	0.531014569712256	0	112
LTR8B	1644	2.12010242572758	0.002	77	1.54784240150094	0	231	0.797691387279169	0.338	34	4.01048897115533	0	52	0.669578803048178	0.156	21	3.13705227805355	0	170	0.929080210591514	0.83	30	4.33427176281592	0	545	0.503311791588653	0	50
MER11D	267	3.3288948069241	0	20	3.01578121126993	0	73	0.410509031198686	0.158	3	5.43024227234754	0	13	1.6120365394949	0.264	9	9.67974461950365	0	94	10.6128038343033	0	62	5.86134261379247	0	128	0.0620616893191833	0	1
MER21A	2062	3.77333214253818	0	169	2.51596459012799	0	459	1.2470005857124	0.206	66	5.35492718605107	0	82	1.34037476878535	0.168	50	3.01668506740892	0	194	1.12485939257593	0.582	43	0.736274451276541	0.002	111	0.657622329931559	0.002	81
MER31A	1379	2.20308431804526	0	66	2.38260123994196	0	289	1.58328055731476	0.01	55	3.97189123128628	0	39	1.79555704025388	0.006	43	2.49311425586475	0	105	1.47227220677245	0.044	36	1.23474282938283	0.04	122	0.992888436573046	0.986	80
MER39	3390	2.09388720027018	0	155	1.65492081916922	0	499	0.648380784772314	0.004	56	3.29992666829626	0	81	0.733186695994135	0.082	44	2.55825807630534	0	266	0.907676348547718	0.568	56	0.902899492170105	0.226	221	0.89104742134793	0.226	182
MER39B	1222	2.72139698378501	0	72	2.53885284920894	0	272	0.967741935483871	0.99	30	5.88039498502164	0	53	1.795166858458	0.004	39	4.8094709581946	0	182	2.47457932151534	0	55	1.43700743202281	0	128	0.786282813513029	0.16	57
MER41A	2640	2.73749501879862	0	158	2.55001211255753	0	600	1.25409424887132	0.098	85	4.47427293064877	0	88	1.02272964454927	0.908	49	3.24977348233162	0	269	1.59750952361447	0	78	1.65891822147582	0	324	0.640957162696293	0	102
MER41B	2941	3.37495246545823	0	213	2.49303075771851	0	643	1.07126596855834	0.608	80	6.57338717250446	0	140	0.919240860256238	0.706	48	3.53539235169468	0	322	1.44599755292722	0.004	78	1.67945917640454	0	356	0.568756319514661	0	99
MER41C	863	2.97684674751929	0	54	2.83106623346859	0	210	1.5907921209002	0.044	34	5.76173529910185	0	34	2.30009470978217	0.002	34	4.25466078749903	0	110	3.22169273105578	0	48	2.30049844132895	0	138	0.806614236741278	0.308	40
MER4B	1788	2.15138396956579	0	82	2.39268302095527	0	372	1.37539376192378	0.048	62	2.66483934825643	0	35	0.874098585833359	0.596	28	2.43669115390863	0	135	1.03690149435804	0.89	34	1.8506004853027	0	241	0.790453606087445	0.066	83
MER4D1	1595	2.36106602130862	0	80	2.1880889967287	0	303	1.44163849671903	0.056	58	3.61515076821954	0	44	1.53011545416609	0.05	44	2.57043393782383	0	127	1.00053361792956	0.976	30	1.46772707103116	0	172	0.450750177080427	0	42
MER61D	269	3.11418685121107	0	18	2.21943048576214	0	53	1.1562364503541	0.798	8	11.2531969309463	0	22	2.13583938487826	0.076	10	3.40466926070039	0	28	3.0241935483871	0	15	4.45203706579697	0	86	0.12649421288976	0	2
MER61E	320	4.80489225393127	0	33	2.37181723055459	0	68	0.485436893203884	0.232	4	15.4220779220779	0	38	0.524017467248908	0.418	3	3.29242741694104	0	33	1.17627289531171	0.766	7	6.52431791221827	0	154	0.0518699102650552	0	1
MSR1	445	2.85472615775005	0.002	27	1.54671066199216	0.014	60	8.97697982401564	0	101	3.76175548589342	0	12	6.97184951328598	0	53	2.57966616084977	0	34	5.87634133878385	0	46	0.541159992360094	0.026	17	0.971930643029313	1	25
